Item Identifier,Item Weight,Item Fat Content,Item Visibility,Item Type,Outlet Identifier,Outlet Establishment Year,Outlet Size,Outlet Location Type,Outlet Type,Sales,Rating,Order Date
FDD34,6.968,Regular,0.034155,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,1414.8103,3.8,2023-08-30
FDX53,10.726,Regular,0.023127,Frozen Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,1305.3218,3.5,2023-11-09
FDJ34,18.813,low fat,0.022977,Canned,OUT018,2009,Medium,Tier 3,Supermarket Type2,5084.7024,4.0,2023-12-05
FDA59,,Low Fat ,0.044794,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,3826.4945,4.696,2022-08-23
FDJ19,15.129, Regular,0.027457,Snack Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1850.7103,4.0,2023-01-06
FDN59,, Regular,0.036122,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,1171.7429,4.132,2022-04-17
DRN52,12.709,reg,0.16302,Soft Drinks,OUT046,1997,Small,Tier 1,Supermarket Type1,4974.7592,3.9,2022-05-19
FDJ29,,Regular,0.012421,Dairy,OUT035,2004,Small,Tier 2,Supermarket Type1,2819.7607,4.4,2023-12-17
FDK44,18.796,low fat,0.054857,Frozen Foods,OUT046,1997,Small,Tier 1,Supermarket Type1,5661.8752,4.1,2022-09-07
FDH32,17.419, Regular,0.05689,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,864.0162,4.3,2022-03-01
FDM54,13.567,reg,0.049949,Fruits and Vegetables,OUT049,1999,Medium,Tier 1,Supermarket Type1,4295.0483,3.9,2023-05-12
FDM48,18.414,reg,0.029145,Dairy,OUT017,2007,,Tier 2,Supermarket Type1,5060.0681,4.2,2023-01-29
FDW47,6.385,Regular,0.047738,Breads,OUT018,2009,Medium,Tier 3,Supermarket Type2,2342.5586,4.0,2022-01-19
FDJ47,7.268,Low Fat ,0.179865,Snack Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,5676.709,4.1,2023-10-09
FDP58,,low fat,0.041549,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,3623.661,4.3,2022-05-12
FDB57,7.226,Low Fat ,0.105137,Frozen Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,3423.5833,3.7,2023-09-11
FDD19,10.919,reg,0.030494,Canned,OUT046,1997,Small,Tier 1,Supermarket Type1,3719.6183,3.6,2023-11-15
FDJ39,7.398,LF,0.101791,Snack Foods,OUT019,1985,Small,Tier 1,Grocery Store,1277.218,4.4,2023-10-15
FDY22,,Low Fat ,0.071695,Frozen Foods,OUT045,2002,,Tier 2,Supermarket Type1,972.7597,3.7,2022-12-06
NCA10,21.006,low fat,0.024191,Health and Hygiene,OUT019,1985,Small,Tier 1,Grocery Store,446.0703,3.478,2022-03-06
FDX49,17.282,LF,0.057244,Baking Goods,OUT045,2002,,Tier 2,Supermarket Type1,797.5235,3.6,2022-09-22
FDV36,15.16,low fat,0.0,Meat,OUT035,2004,Small,Tier 2,Supermarket Type1,1115.7652,4.0,2023-12-10
FDK16,10.281,Low Fat ,0.024155,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,2757.4406,3.9,2022-09-22
FDX59,10.438,LF,0.033495,Seafood,OUT045,2002,,Tier 2,Supermarket Type1,2942.7383,4.4,2023-07-22
FDJ15,12.735,Low Fat,0.04963,Baking Goods,OUT018,2009,Medium,Tier 3,Supermarket Type2,1896.0619,4.3,2022-07-15
FDE31,11.77,low fat,0.049481,Meat,OUT019,1985,Small,Tier 1,Grocery Store,1070.5476,3.985,2022-02-07
NCX56,14.386,Low Fat ,0.042854,Health and Hygiene,OUT046,1997,Small,Tier 1,Supermarket Type1,1797.0937,4.5,2022-07-17
FDW10,12.106,low fat,0.097312,Canned,OUT027,1985,Medium,Tier 3,Supermarket Type3,3504.3727,4.2,2023-04-21
FDV32,16.442,reg,0.0,Meat,OUT017,2007,,Tier 2,Supermarket Type1,3759.5201,3.9,2023-09-10
FDJ28,15.306, Regular,0.0,Canned,OUT017,2007,,Tier 2,Supermarket Type1,1167.1578,4.6,2022-04-03
FDF59,13.494,LF,0.049492,Snack Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,2459.4077,4.1,2022-04-01
FDF29,5.518,Low Fat ,0.117051,Snack Foods,OUT045,2002,,Tier 2,Supermarket Type1,5146.1325,4.0,2023-12-03
NCK17,5.885,Low Fat,0.126961,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,3662.3588,3.9,2023-04-08
FDK24,11.935,LF,0.042861,Fruits and Vegetables,OUT035,2004,Small,Tier 2,Supermarket Type1,2529.6506,4.2,2022-07-31
FDR15,,Low Fat ,0.090162,Baking Goods,OUT045,2002,,Tier 2,Supermarket Type1,8435.4969,3.9,2023-08-04
FDQ42,21.085,reg,0.032687,Canned,OUT013,1987,High,Tier 3,Supermarket Type1,5322.1359,4.8,2022-08-27
FDD18,7.044,low fat,0.034027,Seafood,OUT045,2002,,Tier 2,Supermarket Type1,4786.7092,4.0,2023-04-02
FDG33,,reg,0.077706,Seafood,OUT013,1987,High,Tier 3,Supermarket Type1,4883.7491,4.1,2022-12-20
FDQ25,,LF,0.050098,Baking Goods,OUT017,2007,,Tier 2,Supermarket Type1,4044.6662,4.2,2023-10-11
DRR20,8.315,Low Fat ,0.044993,Soft Drinks,OUT013,1987,High,Tier 3,Supermarket Type1,1890.284,4.2,2022-04-02
FDM46,18.768,low fat,0.015083,Snack Foods,OUT019,1985,Small,Tier 1,Grocery Store,735.3693,4.0,2022-11-05
FDK16,10.281,Low Fat ,0.085156,Fruits and Vegetables,OUT019,1985,Small,Tier 1,Grocery Store,295.7184,3.5,2022-02-08
NCU35,20.96,Low Fat ,0.040063,Household,OUT017,2007,,Tier 2,Supermarket Type1,1464.3362,3.8,2022-04-16
FDQ47,19.566, Regular,0.0,Meat,OUT018,2009,Medium,Tier 3,Supermarket Type2,988.2318,4.2,2022-07-09
FDR59,15.9,Low Fat,0.040229,Canned,OUT018,2009,Medium,Tier 3,Supermarket Type2,5761.483,4.0,2022-01-21
FDE27,14.958,LF,0.0,Dairy,OUT035,2004,Small,Tier 2,Supermarket Type1,1794.9218,4.3,2022-12-16
FDM25,7.381,LF,0.0,Fruits and Vegetables,OUT019,1985,Small,Tier 1,Grocery Store,1986.5644,3.7,2022-01-23
NCK17,5.885,Low Fat ,0.075205,Household,OUT010,1998,,Tier 3,Grocery Store,953.3351,4.3,2023-09-05
FDN52,15.635,Low Fat ,0.044887,Snack Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,3897.259,4.0,2022-12-07
FDE54,12.08,LF,0.024245,Frozen Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1541.1176,3.7,2023-08-27
FDR12,,reg,0.05783,Snack Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,4138.6173,3.9,2023-04-13
FDU44,8.169,LF,0.049511,Dairy,OUT035,2004,Small,Tier 2,Supermarket Type1,2346.1761,4.778,2023-10-22
FDX17,7.213,reg,0.047133,Dairy,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.2336,4.3,2022-03-31
FDC29,,low fat,0.038193,Canned,OUT046,1997,Small,Tier 1,Supermarket Type1,5178.6518,3.676,2022-11-23
FDP49,19.303,reg,0.027339,Frozen Foods,OUT013,1987,High,Tier 3,Supermarket Type1,1993.0955,3.9,2022-12-19
FDD23,12.959, Regular,0.038827,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,1334.7429,3.7,2023-08-31
FDM29,13.557,Low Fat ,0.028128,Frozen Foods,OUT013,1987,High,Tier 3,Supermarket Type1,2464.7335,3.871,2023-11-12
NCV29,7.742,Low Fat,0.088311,Household,OUT046,1997,Small,Tier 1,Supermarket Type1,1292.2051,4.1,2022-07-07
FDW20,12.24,Low Fat ,0.039903,Frozen Foods,OUT013,1987,High,Tier 3,Supermarket Type1,3936.445,3.718,2022-10-29
NCK13,20.327,low fat,0.058299,Health and Hygiene,OUT049,1999,Medium,Tier 1,Supermarket Type1,8792.4323,4.4,2023-09-19
FDK13,17.681,Low Fat,0.042117,Fruits and Vegetables,OUT013,1987,High,Tier 3,Supermarket Type1,2542.3331,3.8,2022-06-07
NCJ50,15.228,Low Fat,0.059087,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,1015.5563,3.8,2022-06-30
FDC41,9.182,reg,0.040393,Breads,OUT017,2007,,Tier 2,Supermarket Type1,1963.1153,3.7,2022-02-11
NCU13,17.293,low fat,0.055855,Health and Hygiene,OUT045,2002,,Tier 2,Supermarket Type1,2784.7417,4.0,2023-04-30
FDP48,6.336,LF,0.062055,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,7492.6729,3.796,2023-05-01
FDN24,7.613,Low Fat ,0.022248,Baking Goods,OUT013,1987,High,Tier 3,Supermarket Type1,3549.6938,3.7,2023-02-04
FDA36,7.569,Regular,0.057741,Frozen Foods,OUT017,2007,,Tier 2,Supermarket Type1,1239.9837,3.9,2022-08-16
FDN12,19.577, Regular,0.063711,Starchy Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,2064.3395,3.9,2022-04-21
FDN36,13.968, Regular,0.098696,Breads,OUT017,2007,,Tier 2,Supermarket Type1,3177.8819,3.8,2022-01-08
DRV20,4.713,Low Fat ,0.029368,Hard Drinks,OUT045,2002,,Tier 2,Supermarket Type1,2022.1149,3.7,2022-12-05
FDC22,7.88,reg,0.039736,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,1338.7791,3.8,2023-02-12
FDJ57,8.897,LF,0.046584,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,1335.5389,3.7,2023-01-27
FDP53,5.453,Regular,0.054828,Snack Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,6410.6263,4.506,2022-05-14
FDQ43,8.218,Low Fat,0.048083,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,3321.7159,4.3,2023-04-15
FDK10,,low fat,0.037722,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,1747.8742,2.9,2022-03-29
FDB29,6.533,Low Fat,0.082948,Baking Goods,OUT027,1985,Medium,Tier 3,Supermarket Type3,2221.8902,4.1,2023-04-17
FDC55,8.051,reg,0.06458,Baking Goods,OUT018,2009,Medium,Tier 3,Supermarket Type2,1728.2883,4.3,2023-12-16
FDB19,,Regular,0.048068,Fruits and Vegetables,OUT046,1997,Small,Tier 1,Supermarket Type1,3477.1509,4.7,2023-06-16
FDA17,8.303,reg,0.016731,Frozen Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1799.7849,3.8,2022-06-15
FDW23,10.785,Low Fat,0.019578,Frozen Foods,OUT045,2002,,Tier 2,Supermarket Type1,3335.7415,4.3,2023-10-03
FDP14,11.67, Regular,0.050702,Snack Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,4790.0901,3.962,2022-03-23
NCW50,8.005,LF,0.031788,Others,OUT013,1987,High,Tier 3,Supermarket Type1,3454.2036,4.0,2023-05-26
FDV36,15.16,low fat,0.07375,Meat,OUT045,2002,,Tier 2,Supermarket Type1,3450.022,4.204,2022-07-24
NCD48,14.802,low fat,0.038471,Household,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.6438,3.4,2023-04-07
FDB22,5.666,reg,0.046015,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,5857.1478,4.0,2022-05-29
FDW47,,Regular,0.03103,Breads,OUT027,1985,Medium,Tier 3,Supermarket Type3,3034.473,4.7,2022-05-29
DRJ25,,Regular,0.053567,Soft Drinks,OUT018,2009,Medium,Tier 3,Supermarket Type2,1444.0266,4.1,2023-12-20
FDR30,11.886,Low Fat ,0.024496,Meat,OUT013,1987,High,Tier 3,Supermarket Type1,9785.9511,3.9,2023-12-09
NCM24,10.332,LF,0.021625,Household,OUT035,2004,Small,Tier 2,Supermarket Type1,1507.3473,4.495,2023-12-18
FDV20,16.505,Low Fat ,0.042399,Frozen Foods,OUT013,1987,High,Tier 3,Supermarket Type1,7892.4227,4.1,2022-05-25
FDQ25,12.996,LF,0.06349,Baking Goods,OUT035,2004,Small,Tier 2,Supermarket Type1,1790.9446,3.1,2022-09-24
FDK51,10.991,LF,0.048711,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,885.6124,4.1,2023-03-03
FDM12,12.49, Regular,0.056722,Snack Foods,OUT045,2002,,Tier 2,Supermarket Type1,7097.7844,3.5,2023-05-23
FDH16,13.075,LF,0.050872,Fruits and Vegetables,OUT018,2009,Medium,Tier 3,Supermarket Type2,1740.5844,4.0,2023-06-02
FDM24,8.58,LF,0.023169,Breads,OUT027,1985,Medium,Tier 3,Supermarket Type3,2968.3896,3.7,2023-11-25
DRH46,12.897,Low Fat,0.155461,Hard Drinks,OUT018,2009,Medium,Tier 3,Supermarket Type2,1995.0428,3.7,2023-02-08
FDY50,,LF,0.0747,Seafood,OUT046,1997,Small,Tier 1,Supermarket Type1,820.3442,4.5,2022-05-29
DRY51,17.604, Regular,0.072968,Soft Drinks,OUT027,1985,Medium,Tier 3,Supermarket Type3,2664.7448,4.166,2023-11-02
FDM50,11.67,Low Fat ,0.049387,Frozen Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,1171.6962,3.9,2022-03-24
NCJ28,9.833,low fat,0.017456,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,4973.7477,4.2,2022-12-23
FDE16,10.615,LF,0.052856,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,10473.121,4.065,2023-08-24
FDJ30,20.547, Regular,0.030383,Snack Foods,OUT013,1987,High,Tier 3,Supermarket Type1,5930.4941,3.7,2022-10-29
FDU15,9.842,Low Fat ,0.109206,Dairy,OUT035,2004,Small,Tier 2,Supermarket Type1,3177.6438,4.2,2022-04-22
FDR49,,low fat,0.057959,Canned,OUT049,1999,Medium,Tier 1,Supermarket Type1,1754.4979,4.1,2022-02-05
FDR43,, Regular,0.065457,Canned,OUT017,2007,,Tier 2,Supermarket Type1,1760.5259,3.9,2022-09-19
NCG15,20.108,LF,0.050732,Household,OUT017,2007,,Tier 2,Supermarket Type1,1548.9258,3.7,2022-04-30
FDP30,9.11,reg,0.08667,Canned,OUT027,1985,Medium,Tier 3,Supermarket Type3,4218.1877,4.686,2022-02-28
FDX37,8.709,LF,0.08385,Canned,OUT045,2002,,Tier 2,Supermarket Type1,1395.4282,3.5,2022-11-15
FDB33,6.36,reg,0.083752,Starchy Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,6972.2308,4.0,2022-12-27
FDD55,,Regular,0.023429,Breads,OUT046,1997,Small,Tier 1,Supermarket Type1,5576.9083,4.1,2023-03-02
NCG35,,Low Fat ,0.042711,Household,OUT013,1987,High,Tier 3,Supermarket Type1,1520.5976,4.4,2022-03-13
FDX43,5.725,Regular,0.023914,Frozen Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,1666.115,4.1,2022-02-18
FDH24,5.563,reg,0.06386,Baking Goods,OUT049,1999,Medium,Tier 1,Supermarket Type1,2073.1742,4.0,2023-02-26
FDV45,5.5,Regular,0.028951,Snack Foods,OUT046,1997,Small,Tier 1,Supermarket Type1,1607.0227,4.2,2023-04-12
FDD58,,reg,0.069804,Fruits and Vegetables,OUT045,2002,,Tier 2,Supermarket Type1,4261.9575,4.5,2022-09-08
NCW15,17.547,Low Fat,0.025196,Health and Hygiene,OUT027,1985,Medium,Tier 3,Supermarket Type3,5891.087,3.8,2022-02-19
FDN34,6.37, Regular,0.065812,Canned,OUT017,2007,,Tier 2,Supermarket Type1,11953.7375,3.5,2023-11-13
FDG45,,Regular,0.030231,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,4397.2004,5.0,2023-03-03
FDC42,17.19,Regular,0.084289,Canned,OUT046,1997,Small,Tier 1,Supermarket Type1,1570.6261,4.2,2022-01-01
FDB51,,reg,0.079982,Fruits and Vegetables,OUT013,1987,High,Tier 3,Supermarket Type1,5104.9458,4.5,2022-06-12
FDY57,6.161,Low Fat ,0.096978,Dairy,OUT017,2007,,Tier 2,Supermarket Type1,1839.3068,4.6,2023-10-18
FDF35,18.693,Low Fat,0.037877,Canned,OUT035,2004,Small,Tier 2,Supermarket Type1,2763.491,4.6,2022-01-20
FDF48,10.826,Low Fat ,0.071577,Breads,OUT045,2002,,Tier 2,Supermarket Type1,3859.5682,4.1,2022-02-21
NCW55,17.621,Low Fat,0.081074,Health and Hygiene,OUT046,1997,Small,Tier 1,Supermarket Type1,3324.7605,4.0,2022-02-24
FDY15,15.803,Regular,0.042695,Breads,OUT027,1985,Medium,Tier 3,Supermarket Type3,9115.0282,4.2,2023-10-19
FDW38,13.506,Low Fat,0.05725,Snack Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,2421.147,4.318,2022-01-05
DRX29,5.096,Low Fat,0.0,Soft Drinks,OUT049,1999,Medium,Tier 1,Supermarket Type1,365.1555,3.7,2023-01-25
FDA16,12.896,reg,0.028155,Dairy,OUT019,1985,Small,Tier 1,Grocery Store,2481.3406,4.5,2023-03-18
FDG48,19.546,Low Fat ,0.15253,Fruits and Vegetables,OUT010,1998,,Tier 3,Grocery Store,945.0893,3.7,2023-08-01
FDF50,20.12,reg,0.035318,Canned,OUT013,1987,High,Tier 3,Supermarket Type1,4061.0302,4.0,2023-10-09
DRC11,6.195,Regular,0.020859,Soft Drinks,OUT049,1999,Medium,Tier 1,Supermarket Type1,4410.7966,4.0,2022-12-14
FDV25,19.906,Low Fat ,0.0,Dairy,OUT019,1985,Small,Tier 1,Grocery Store,1312.9337,4.0,2022-07-28
NCR21,17.495,Low Fat,0.041633,Household,OUT045,2002,,Tier 2,Supermarket Type1,4474.5511,4.0,2022-08-11
NCG25,,Low Fat,0.029538,Health and Hygiene,OUT046,1997,Small,Tier 1,Supermarket Type1,1800.6803,4.6,2023-04-30
NCH25,18.184,LF,0.01645,Household,OUT013,1987,High,Tier 3,Supermarket Type1,3951.3616,3.96,2022-11-15
FDC33,11.53,reg,0.061458,Dairy,OUT010,1998,,Tier 3,Grocery Store,608.0339,3.174,2023-02-06
NCA10,21.006,Low Fat,0.092384,Health and Hygiene,OUT010,1998,,Tier 3,Grocery Store,874.6753,4.5,2023-06-30
FDX45,5.396,Regular,0.139369,Breads,OUT045,2002,,Tier 2,Supermarket Type1,6054.0763,4.4,2023-01-23
FDK14,17.52,Regular,0.045211,Fruits and Vegetables,OUT035,2004,Small,Tier 2,Supermarket Type1,1529.096,3.9,2023-09-18
